age,games_played,team_encoded,interceptions_per_game,sacks_per_game,tackles_per_game,solo_tackles_per_game,tfl_per_game,turnovers_per_game,big_plays_per_game,defensive_impact_per_game,target
32.0,198.0,12,0.031313131313131314,0.005050505050505051,0.03535353535353535,0.2222222222222222,0.06060606060606061,0.04646464646464646,0.5757575757575758,0.6070707070707071,0.03535353535353535
18.0,156.0,0,0.055769230769230765,0.00641025641025641,0.02564102564102564,0.28205128205128205,0.0,0.062179487179487174,0.6858974358974359,0.7416666666666667,0.02564102564102564
12.0,100.0,29,0.083,0.03,0.05,0.43,0.044000000000000004,0.09300000000000001,0.904,0.987,0.05
11.0,149.0,27,0.09060402684563758,0.006711409395973154,0.013422818791946308,0.28859060402684567,0.05704697986577181,0.09060402684563758,0.6812080536912751,0.7718120805369127,0.013422818791946308
21.0,149.0,1,0.04765100671140939,0.0,0.020134228187919462,0.28859060402684567,0.015436241610738253,0.05436241610738255,0.4315436241610738,0.47919463087248315,0.020134228187919462
15.0,90.0,7,0.06666666666666667,0.022222222222222223,0.03333333333333333,0.4777777777777778,0.19222222222222224,0.06666666666666667,1.0922222222222222,1.1588888888888889,0.03333333333333333
18.0,146.0,29,0.055479452054794515,0.0,0.00684931506849315,0.2876712328767123,0.04589041095890411,0.055479452054794515,0.6486301369863013,0.7041095890410959,0.00684931506849315
21.0,173.0,17,0.047398843930635835,0.005780346820809248,0.011560693641618497,0.23699421965317918,0.02716763005780347,0.047398843930635835,0.4838150289017341,0.53121387283237,0.011560693641618497
31.0,304.0,12,0.03223684210526316,0.003289473684210526,0.009868421052631578,0.13486842105263158,0.04802631578947368,0.03881578947368421,0.3868421052631579,0.41907894736842105,0.009868421052631578
29.0,175.0,8,0.03428571428571429,0.002857142857142857,0.011428571428571429,0.2342857142857143,0.05085714285714286,0.03428571428571429,0.4308571428571429,0.4651428571428572,0.011428571428571429
10.0,34.0,23,0.09999999999999999,0.029411764705882353,0.20588235294117646,1.2058823529411764,0.4294117647058823,0.15882352941176472,0.8705882352941177,0.9705882352941176,0.20588235294117646
37.0,219.0,26,0.026940639269406395,0.0091324200913242,0.0182648401826484,0.1872146118721461,0.031050228310502283,0.031506849315068496,0.5789954337899543,0.6059360730593608,0.0182648401826484
22.0,226.0,7,0.045575221238938056,0.004424778761061947,0.017699115044247787,0.18141592920353983,0.03938053097345133,0.05,0.3712389380530974,0.4168141592920354,0.017699115044247787
19.0,119.0,17,0.052941176470588235,0.008403361344537815,0.01680672268907563,0.33613445378151263,0.1403361344537815,0.052941176470588235,0.8630252100840337,0.9159663865546218,0.01680672268907563
7.0,71.0,30,0.14225352112676057,0.0,0.014084507042253521,0.5633802816901409,0.12816901408450704,0.15633802816901407,0.7338028169014085,0.8760563380281691,0.014084507042253521
43.0,309.0,18,0.02330097087378641,0.0,0.003236245954692557,0.12944983818770225,0.035922330097087375,0.02653721682847896,0.5763754045307443,0.5996763754045307,0.003236245954692557
27.0,91.0,14,0.03736263736263736,0.016483516483516484,0.06593406593406594,0.42857142857142855,0.07802197802197802,0.07032967032967033,0.8307692307692307,0.8681318681318682,0.06593406593406594
27.0,213.0,8,0.037089201877934276,0.0,0.004694835680751174,0.18309859154929578,0.07136150234741784,0.04178403755868545,0.49859154929577465,0.535680751173709,0.004694835680751174
25.0,103.0,14,0.039805825242718446,0.009708737864077669,0.019417475728155338,0.3786407766990291,0.024271844660194174,0.039805825242718446,0.7718446601941747,0.8116504854368931,0.019417475728155338
31.0,324.0,14,0.032407407407407406,0.0,0.009259259259259259,0.12037037037037036,0.028703703703703707,0.038580246913580245,0.4453703703703704,0.4777777777777778,0.009259259259259259
6.0,25.0,30,0.168,0.36,0.8,1.56,0.1,0.248,0.94,1.1079999999999999,0.8
42.0,265.0,20,0.023773584905660377,0.0037735849056603774,0.0037735849056603774,0.14339622641509434,0.035849056603773584,0.023773584905660377,0.31886792452830187,0.34264150943396227,0.0037735849056603774
7.0,30.0,2,0.14333333333333334,0.3333333333333333,0.6666666666666666,1.2666666666666666,0.16666666666666666,0.31,1.5,1.6433333333333333,0.6666666666666666
19.0,121.0,16,0.05289256198347108,0.008264462809917356,0.024793388429752067,0.3140495867768595,0.06033057851239669,0.05289256198347108,0.6636363636363636,0.7165289256198347,0.024793388429752067
23.0,108.0,0,0.04351851851851852,0.009259259259259259,0.009259259259259259,0.35185185185185186,0.1611111111111111,0.04351851851851852,1.0222222222222224,1.0657407407407407,0.009259259259259259
21.0,237.0,7,0.04767932489451477,0.002109704641350211,0.004219409282700422,0.15611814345991562,0.05021097046413502,0.04767932489451477,0.6683544303797468,0.7160337552742617,0.004219409282700422
18.0,120.0,0,0.05583333333333333,0.0,0.008333333333333333,0.30833333333333335,0.09916666666666667,0.06416666666666666,0.6408333333333334,0.6966666666666668,0.008333333333333333
16.0,124.0,14,0.06290322580645161,0.016129032258064516,0.024193548387096774,0.29838709677419356,0.020967741935483872,0.07096774193548387,1.020967741935484,1.0838709677419356,0.024193548387096774
25.0,207.0,14,0.04009661835748793,0.0,0.004830917874396135,0.178743961352657,0.036231884057971016,0.044927536231884065,0.38405797101449274,0.42415458937198064,0.004830917874396135
20.0,223.0,17,0.05022421524663677,0.0,0.004484304932735426,0.16143497757847533,0.02376681614349776,0.054708520179372194,0.45426008968609866,0.5044843049327354,0.004484304932735426
43.0,282.0,20,0.023404255319148935,0.0035460992907801418,0.0070921985815602835,0.1276595744680851,0.03546099290780142,0.026950354609929075,0.6560283687943262,0.6794326241134752,0.0070921985815602835
47.0,279.0,24,0.02114695340501792,0.0035842293906810036,0.0035842293906810036,0.12903225806451613,0.035842293906810034,0.02114695340501792,0.7060931899641577,0.7272401433691756,0.0035842293906810036
16.0,149.0,5,0.06241610738255034,0.0,0.020134228187919462,0.24161073825503357,0.09597315436241612,0.0825503355704698,0.4315436241610738,0.4939597315436241,0.020134228187919462
31.0,158.0,20,0.032278481012658226,0.0,0.006329113924050633,0.22784810126582278,0.03354430379746835,0.03860759493670886,0.7613924050632911,0.7936708860759493,0.006329113924050633
10.0,61.0,18,0.09999999999999999,0.0,0.01639344262295082,0.2786885245901639,0.0,0.11639344262295082,0.6065573770491803,0.7065573770491803,0.01639344262295082
18.0,104.0,7,0.055769230769230765,0.009615384615384616,0.038461538461538464,0.33653846153846156,0.1201923076923077,0.06538461538461539,0.5913461538461539,0.6471153846153845,0.038461538461538464
36.0,279.0,20,0.02795698924731183,0.0,0.0035842293906810036,0.12544802867383512,0.02831541218637993,0.02795698924731183,0.2756272401433692,0.303584229390681,0.0035842293906810036
16.0,143.0,29,0.06223776223776224,0.013986013986013986,0.02097902097902098,0.23776223776223776,0.07342657342657342,0.06923076923076923,0.513986013986014,0.5762237762237763,0.02097902097902098
53.0,278.0,13,0.018705035971223024,0.0017985611510791368,0.007194244604316547,0.1223021582733813,0.029136690647482012,0.018705035971223024,0.3726618705035971,0.39136690647482014,0.007194244604316547
24.0,152.0,7,0.04144736842105263,0.0,0.006578947368421052,0.2236842105263158,0.125,0.04802631578947368,0.6578947368421053,0.6993421052631579,0.006578947368421052
20.0,181.0,7,0.05027624309392265,0.0,0.011049723756906077,0.1878453038674033,0.044751381215469614,0.05580110497237569,0.30994475138121547,0.3602209944751381,0.011049723756906077
25.0,180.0,15,0.04,0.002777777777777778,0.011111111111111112,0.18888888888888888,0.08333333333333333,0.04555555555555555,0.6083333333333333,0.6483333333333333,0.011111111111111112
31.0,235.0,30,0.03234042553191489,0.00425531914893617,0.00425531914893617,0.14468085106382977,0.04468085106382979,0.03234042553191489,0.4319148936170213,0.46425531914893614,0.00425531914893617
12.0,83.0,18,0.08313253012048193,0.04216867469879518,0.0963855421686747,0.40963855421686746,0.06746987951807229,0.09518072289156627,0.772289156626506,0.8554216867469879,0.0963855421686747
31.0,224.0,12,0.03214285714285715,0.004464285714285714,0.004464285714285714,0.15178571428571427,0.0,0.03214285714285715,0.39732142857142855,0.42946428571428574,0.004464285714285714
26.0,206.0,12,0.0383495145631068,0.0048543689320388345,0.0048543689320388345,0.1650485436893204,0.08300970873786409,0.0383495145631068,0.5053398058252427,0.5436893203883495,0.0048543689320388345
18.0,136.0,27,0.055882352941176466,0.007352941176470588,0.007352941176470588,0.2426470588235294,0.04191176470588236,0.055882352941176466,0.3360294117647059,0.3919117647058824,0.007352941176470588
29.0,260.0,20,0.03461538461538462,0.0038461538461538464,0.007692307692307693,0.12692307692307692,0.05923076923076923,0.038461538461538464,0.6284615384615385,0.6630769230769231,0.007692307692307693
10.0,58.0,18,0.09999999999999999,0.008620689655172414,0.05172413793103448,0.5517241379310345,0.05172413793103448,0.11724137931034483,0.6810344827586207,0.7810344827586206,0.05172413793103448
3.0,22.0,16,0.3318181818181818,0.045454545454545456,0.13636363636363635,1.4545454545454546,0.13636363636363635,0.3772727272727273,1.6363636363636365,1.968181818181818,0.13636363636363635
28.0,150.0,8,0.036000000000000004,0.013333333333333334,0.02,0.21333333333333335,0.11933333333333332,0.036000000000000004,1.0726666666666667,1.1086666666666667,0.02
1.0,9.0,26,1.0,0.1111111111111111,0.7777777777777778,3.5555555555555554,0.9555555555555555,1.4444444444444444,1.6222222222222222,2.6222222222222222,0.7777777777777778
6.0,10.0,30,0.16999999999999998,0.45,1.3,3.1,0.61,0.77,2.7600000000000002,2.9299999999999997,1.3
34.0,172.0,20,0.029651162790697672,0.0,0.011627906976744186,0.18023255813953487,0.06627906976744186,0.035465116279069765,0.9034883720930232,0.9331395348837209,0.011627906976744186
2.0,33.0,26,0.5,0.12121212121212122,0.5151515151515151,0.9393939393939394,0.18484848484848485,0.7424242424242424,1.4575757575757575,1.9575757575757573,0.5151515151515151
10.0,111.0,2,0.09999999999999999,0.0,0.04504504504504504,0.2702702702702703,0.05675675675675675,0.12702702702702703,0.49819819819819816,0.5981981981981982,0.04504504504504504
37.0,225.0,5,0.02711111111111111,0.0044444444444444444,0.008888888888888889,0.13333333333333333,0.028,0.02711111111111111,0.3035555555555555,0.3306666666666666,0.008888888888888889
42.0,317.0,18,0.02365930599369085,0.006309148264984227,0.012618296529968454,0.0946372239747634,0.045110410094637225,0.026813880126182965,0.42996845425867514,0.45362776025236595,0.012618296529968454
3.0,16.0,17,0.33125,0.28125,0.8125,1.875,0.89375,0.51875,2.6125,2.9437499999999996,0.8125
13.0,65.0,27,0.07692307692307693,0.023076923076923078,0.03076923076923077,0.46153846153846156,0.09692307692307692,0.07692307692307693,0.5507692307692307,0.6276923076923077,0.03076923076923077
5.0,26.0,17,0.2,0.15384615384615385,0.7307692307692307,1.1538461538461537,0.2423076923076923,0.3153846153846154,1.7038461538461538,1.9038461538461537,0.7307692307692307
1.0,9.0,26,1.0,0.6111111111111112,1.6666666666666667,3.2222222222222223,0.36666666666666664,1.4444444444444444,0.9777777777777779,1.9777777777777779,1.6666666666666667
41.0,155.0,26,0.024516129032258062,0.0,0.01935483870967742,0.1870967741935484,0.07806451612903226,0.03741935483870967,0.4393548387096774,0.4638709677419354,0.01935483870967742
17.0,174.0,7,0.05862068965517241,0.0,0.005747126436781609,0.16091954022988506,0.01954022988505747,0.06436781609195402,0.27816091954022987,0.3367816091954023,0.005747126436781609
