age,games_played,team_encoded,receptions_per_game,yards_per_reception,yards_per_game,target
23,8,4,2.375,0.7368421052631579,1.75,2.375
25,8,17,3.0,0.5833333333333334,1.75,3.0
26,7,20,3.142857142857143,0.6363636363636364,2.0,3.142857142857143
32,4,16,8.0,0.4375,3.5,8.0
26,8,20,2.75,0.6363636363636364,1.75,2.75
23,7,19,2.857142857142857,0.7,2.0,2.857142857142857
26,6,10,3.3333333333333335,0.7,2.3333333333333335,3.3333333333333335
22,5,0,3.8,0.7368421052631579,2.8,3.8
28,6,21,3.8333333333333335,0.6086956521739131,2.3333333333333335,3.8333333333333335
22,8,25,2.25,0.7777777777777778,1.75,2.25
25,8,25,3.375,0.5185185185185185,1.75,3.375
26,8,20,3.0,0.5833333333333334,1.75,3.0
26,7,5,3.5714285714285716,0.52,1.8571428571428572,3.5714285714285716
23,4,26,4.0,0.8125,3.25,4.0
22,7,21,2.142857142857143,0.8666666666666667,1.8571428571428572,2.142857142857143
27,8,0,2.125,0.7647058823529411,1.625,2.125
32,6,24,3.5,0.6190476190476191,2.1666666666666665,3.5
23,7,19,3.0,0.6190476190476191,1.8571428571428572,3.0
29,8,24,2.75,0.5909090909090909,1.625,2.75
34,8,27,1.875,0.8666666666666667,1.625,1.875
30,4,1,5.25,0.6190476190476191,3.25,5.25
26,7,0,3.7142857142857144,0.5,1.8571428571428572,3.7142857142857144
29,6,20,3.1666666666666665,0.6842105263157895,2.1666666666666665,3.1666666666666665
24,6,25,3.3333333333333335,0.65,2.1666666666666665,3.3333333333333335
26,7,10,2.0,0.8571428571428571,1.7142857142857142,2.0
31,8,17,1.625,0.9230769230769231,1.5,1.625
30,6,26,2.8333333333333335,0.7058823529411765,2.0,2.8333333333333335
22,7,22,2.142857142857143,0.8,1.7142857142857142,2.142857142857143
24,5,29,3.2,0.75,2.4,3.2
30,8,1,2.125,0.7058823529411765,1.5,2.125
25,7,24,2.4285714285714284,0.7058823529411765,1.7142857142857142,2.4285714285714284
22,7,1,2.4285714285714284,0.6470588235294118,1.5714285714285714,2.4285714285714284
25,8,21,1.5,0.9166666666666666,1.375,1.5
21,8,22,3.75,0.36666666666666664,1.375,3.75
26,8,25,2.5,0.55,1.375,2.5
23,8,5,1.875,0.7333333333333333,1.375,1.875
26,8,31,3.0,0.4583333333333333,1.375,3.0
23,8,1,2.875,0.4782608695652174,1.375,2.875
27,7,20,2.0,0.7857142857142857,1.5714285714285714,2.0
21,6,21,3.0,0.6111111111111112,1.8333333333333333,3.0
24,8,1,1.875,0.7333333333333333,1.375,1.875
28,7,5,1.8571428571428572,0.8461538461538461,1.5714285714285714,1.8571428571428572
28,5,27,5.0,0.44,2.2,5.0
26,8,25,2.125,0.6470588235294118,1.375,2.125
30,5,4,4.2,0.5238095238095238,2.2,4.2
25,4,22,5.0,0.55,2.75,5.0
30,7,19,2.142857142857143,0.6666666666666666,1.4285714285714286,2.142857142857143
25,7,16,1.8571428571428572,0.7692307692307693,1.4285714285714286,1.8571428571428572
33,7,5,2.0,0.7142857142857143,1.4285714285714286,2.0
27,7,4,2.142857142857143,0.6666666666666666,1.4285714285714286,2.142857142857143
33,7,24,3.0,0.47619047619047616,1.4285714285714286,3.0
26,7,0,1.7142857142857142,0.8333333333333334,1.4285714285714286,1.7142857142857142
26,6,0,2.0,0.8333333333333334,1.6666666666666667,2.0
24,4,24,2.75,0.9090909090909091,2.5,2.75
25,8,22,1.75,0.7142857142857143,1.25,1.75
26,6,21,2.6666666666666665,0.625,1.6666666666666667,2.6666666666666665
33,4,16,3.0,0.8333333333333334,2.5,3.0
26,4,26,3.0,0.75,2.25,3.0
27,8,16,1.75,0.6428571428571429,1.125,1.75
27,8,12,1.5,0.75,1.125,1.5
22,8,0,1.375,0.8181818181818182,1.125,1.375
25,7,26,1.5714285714285714,0.8181818181818182,1.2857142857142858,1.5714285714285714
23,7,1,2.5714285714285716,0.5,1.2857142857142858,2.5714285714285716
26,6,21,3.1666666666666665,0.47368421052631576,1.5,3.1666666666666665
31,7,5,1.7142857142857142,0.75,1.2857142857142858,1.7142857142857142
25,8,4,1.25,0.9,1.125,1.25
26,8,0,1.5,0.75,1.125,1.5
24,5,5,2.4,0.75,1.8,2.4
24,7,5,2.0,0.6428571428571429,1.2857142857142858,2.0
24,7,24,1.4285714285714286,0.8,1.1428571428571428,1.4285714285714286
25,7,12,2.0,0.5714285714285714,1.1428571428571428,2.0
30,3,26,3.0,0.8888888888888888,2.6666666666666665,3.0
25,8,6,1.75,0.5714285714285714,1.0,1.75
30,6,31,2.6666666666666665,0.5,1.3333333333333333,2.6666666666666665
30,8,25,1.125,0.8888888888888888,1.0,1.125
32,3,27,3.6666666666666665,0.7272727272727273,2.6666666666666665,3.6666666666666665
29,7,10,1.8571428571428572,0.6153846153846154,1.1428571428571428,1.8571428571428572
23,7,13,2.142857142857143,0.5333333333333333,1.1428571428571428,2.142857142857143
32,7,1,2.4285714285714284,0.47058823529411764,1.1428571428571428,2.4285714285714284
31,5,27,3.2,0.5,1.6,3.2
28,4,20,2.0,1.0,2.0,2.0
25,7,1,1.2857142857142858,0.8888888888888888,1.1428571428571428,1.2857142857142858
28,8,16,1.75,0.5714285714285714,1.0,1.75
