age,games_played,team_encoded,fg_attempts_per_game,fg_makes_per_game,fg_percentage,xp_attempts_per_game,xp_percentage,long_range_accuracy,mid_range_accuracy,kickoff_touchback_pct,points_per_game,target
30,8,11,2.5,2.0,0.8,1.375,1.0,0.5,0.625,0.632,7.375,2.0
30,6,21,2.6666666666666665,2.1666666666666665,0.813,1.0,1.0,1.0,0.5714285714285714,0.852,7.5,2.1666666666666665
30,1,1,3.0,2.0,0.667,2.0,1.0,0.0,1.0,0.0,8.0,2.0
30,1,4,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.16699999999999998,6.0,1.0
37,8,4,1.875,1.125,0.6,1.75,0.929,0.0,0.25,0.848,5.0,1.125
37,10,21,1.1,0.9,0.818,1.5,1.0,1.0,0.8,0.6859999999999999,4.2,0.9
26,7,30,2.142857142857143,1.8571428571428572,0.867,2.142857142857143,0.8,1.0,0.7142857142857143,0.361,7.285714285714286,1.8571428571428572
26,2,27,2.5,2.5,1.0,2.0,0.75,1.0,1.0,0.2,9.0,2.5
26,5,4,2.0,1.6,0.8,2.2,0.818,1.0,0.6,0.423,6.6,1.6
28,5,11,3.2,3.0,0.938,1.2,1.0,0.5,1.0,0.14300000000000002,10.2,3.0
28,1,27,3.0,3.0,1.0,3.0,1.0,0.0,1.0,0.125,12.0,3.0
28,2,25,4.5,4.0,0.889,1.0,1.0,0.5,1.0,0.16699999999999998,13.0,4.0
28,2,24,2.0,2.0,1.0,0.5,1.0,0.0,0.0,0.14300000000000002,6.5,2.0
29,6,1,1.1666666666666667,0.8333333333333334,0.7140000000000001,3.1666666666666665,1.0,0.0,0.8,0.303,5.666666666666667,0.8333333333333334
25,5,11,1.4,0.8,0.5710000000000001,3.2,1.0,0.3333333333333333,0.0,0.33299999999999996,5.6,0.8
25,1,4,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0
25,1,22,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
25,3,27,2.3333333333333335,1.3333333333333333,0.5710000000000001,4.0,1.0,0.3333333333333333,0.0,0.0,8.0,1.3333333333333333
40,4,26,1.5,1.5,1.0,2.5,1.0,1.0,1.0,0.85,7.0,1.5
25,4,11,1.25,1.25,1.0,2.25,1.0,0.0,1.0,0.9440000000000001,6.0,1.25
