age,games_played,team_encoded,attempts_per_game,yards_per_attempt,yards_per_game,target
29,6,20,1.0,3.8333333333333335,3.8333333333333335,3.8333333333333335
22,6,25,1.0,11.0,11.0,11.0
26,3,0,1.6666666666666667,3.8,6.333333333333333,6.333333333333333
23,8,31,0.625,3.4,2.125,2.125
38,4,0,1.25,-0.4,-0.5,-0.5
30,2,17,2.5,-0.8,-2.0,-2.0
26,7,29,0.7142857142857143,1.0,0.7142857142857143,0.7142857142857143
29,2,25,2.5,-1.2,-3.0,-3.0
25,6,10,0.8333333333333334,5.0,4.166666666666667,4.166666666666667
24,7,29,0.7142857142857143,5.8,4.142857142857143,4.142857142857143
25,1,1,5.0,4.0,20.0,20.0
21,7,20,0.5714285714285714,5.5,3.142857142857143,3.142857142857143
26,6,20,0.6666666666666666,5.5,3.6666666666666665,3.6666666666666665
26,8,20,0.5,6.25,3.125,3.125
25,7,5,0.5714285714285714,5.0,2.857142857142857,2.857142857142857
25,3,13,1.3333333333333333,2.0,2.6666666666666665,2.6666666666666665
23,2,13,2.0,-0.25,-0.5,-0.5
32,4,5,1.0,-1.0,-1.0,-1.0
23,8,13,0.5,1.5,0.75,0.75
25,2,16,2.0,2.75,5.5,5.5
28,7,21,0.5714285714285714,6.25,3.5714285714285716,3.5714285714285716
23,7,1,0.42857142857142855,2.0,0.8571428571428571,0.8571428571428571
25,8,17,0.375,2.3333333333333335,0.875,0.875
21,8,22,0.375,2.0,0.75,0.75
34,1,24,3.0,-1.0,-3.0,-3.0
25,1,6,3.0,-0.6666666666666666,-2.0,-2.0
27,1,19,3.0,1.0,3.0,3.0
23,3,1,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
24,6,24,0.5,17.333333333333332,8.666666666666666,8.666666666666666
22,4,30,0.75,3.3333333333333335,2.5,2.5
31,7,19,0.42857142857142855,6.0,2.5714285714285716,2.5714285714285716
28,8,12,0.375,5.0,1.875,1.875
29,6,5,0.5,1.3333333333333333,0.6666666666666666,0.6666666666666666
30,2,5,1.5,0.0,0.0,0.0
23,1,22,3.0,1.0,3.0,3.0
26,2,30,1.5,4.0,6.0,6.0
23,7,1,0.42857142857142855,3.6666666666666665,1.5714285714285714,1.5714285714285714
26,7,5,0.42857142857142855,3.0,1.2857142857142858,1.2857142857142858
31,2,10,1.5,-1.0,-1.5,-1.5
25,7,24,0.42857142857142855,4.0,1.7142857142857142,1.7142857142857142
24,7,5,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.14285714285714285
29,2,5,1.0,-1.0,-1.0,-1.0
25,7,12,0.2857142857142857,4.5,1.2857142857142858,1.2857142857142858
25,1,21,2.0,3.5,7.0,7.0
26,5,19,0.4,7.5,3.0,3.0
25,7,25,0.2857142857142857,1.0,0.2857142857142857,0.2857142857142857
22,7,21,0.2857142857142857,3.0,0.8571428571428571,0.8571428571428571
29,2,31,1.0,1.5,1.5,1.5
25,8,31,0.25,3.0,0.75,0.75
23,4,22,0.5,21.0,10.5,10.5
25,5,5,0.4,2.5,1.0,1.0
