player_id,player_name,season,week,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,fantasy_points_ppr,fantasy_points
00-0027656,R.Gronkowski,2020,3,DEN,6,7,48.0,0,0.0,0.0,41.0,28.0,3.0,3.840605832519941,0,10.8,4.800000000000001
00-0027656,R.Gronkowski,2020,4,LAC,1,3,29.0,0,0.0,0.0,70.0,0.0,1.0,1.494777095504105,0,3.9000000000000004,2.9000000000000004
00-0027656,R.Gronkowski,2020,5,CHI,3,6,52.0,0,0.0,0.0,37.0,33.0,2.0,2.406056852580165,0,8.2,5.2
00-0027656,R.Gronkowski,2020,6,GB,5,8,78.0,1,0.0,0.0,91.0,25.0,4.0,6.2771721128956415,0,18.8,13.8
00-0027656,R.Gronkowski,2020,7,LV,5,8,62.0,1,1.0,0.0,105.0,12.0,3.0,3.834696876874659,0,17.2,12.2
00-0027656,R.Gronkowski,2020,8,NYG,4,4,41.0,1,0.0,0.0,27.0,14.0,3.0,3.6806756662554108,0,14.100000000000001,10.100000000000001
00-0027656,R.Gronkowski,2020,9,NO,1,6,2.0,0,0.0,0.0,63.0,2.0,0.0,-7.8166788897360675,0,1.2,0.2
00-0027656,R.Gronkowski,2020,10,CAR,2,3,51.0,1,0.0,0.0,68.0,25.0,2.0,5.981864733243128,0,13.100000000000001,11.100000000000001
00-0027656,R.Gronkowski,2020,11,LA,2,6,25.0,0,0.0,0.0,59.0,6.0,1.0,-0.8224750777590089,0,4.5,2.5
00-0027656,R.Gronkowski,2020,12,KC,6,7,106.0,0,0.0,0.0,74.0,40.0,3.0,6.102957349809573,0,16.6,10.600000000000001
00-0027656,R.Gronkowski,2020,14,MIN,1,2,2.0,1,0.0,0.0,31.0,0.0,1.0,-0.6403921813471243,0,7.2,6.2
00-0027656,R.Gronkowski,2020,15,ATL,3,7,29.0,0,0.0,0.0,58.0,14.0,2.0,-0.3387912849175998,0,5.9,2.9000000000000004
00-0027656,R.Gronkowski,2020,16,DET,2,2,58.0,2,0.0,0.0,48.0,10.0,2.0,6.2392318793572485,0,19.8,17.8
00-0027656,R.Gronkowski,2020,17,ATL,2,4,29.0,0,0.0,0.0,33.0,21.0,2.0,0.6793859169119969,0,4.9,2.9000000000000004
00-0027656,R.Gronkowski,2020,18,WAS,0,1,0.0,0,0.0,0.0,5.0,0.0,0.0,-1.3260420596071878,0,0.0,0.0
00-0027656,R.Gronkowski,2020,19,NO,1,5,14.0,0,0.0,0.0,67.0,7.0,1.0,-3.353059286581971,0,2.4000000000000004,1.4000000000000001
00-0027656,R.Gronkowski,2020,20,GB,1,1,29.0,0,0.0,0.0,-5.0,34.0,1.0,2.540622981789056,0,3.9000000000000004,2.9000000000000004
00-0027656,R.Gronkowski,2020,21,KC,6,7,67.0,2,0.0,0.0,58.0,35.0,4.0,7.656682416563854,0,24.7,18.7
00-0027696,J.Graham,2020,1,DET,3,7,25.0,1,0.0,0.0,37.0,13.0,2.0,-0.013897635595640168,0,11.5,8.5
00-0027696,J.Graham,2020,2,NYG,1,1,18.0,0,0.0,0.0,15.0,3.0,1.0,1.9316425162833184,0,2.8,1.8
00-0027696,J.Graham,2020,3,ATL,6,10,60.0,2,1.0,0.0,63.0,25.0,5.0,0.7368845631426666,0,24.0,18.0
00-0027696,J.Graham,2020,4,IND,4,5,33.0,0,0.0,0.0,26.0,12.0,3.0,1.7015664945938624,0,7.300000000000001,3.3000000000000003
00-0027696,J.Graham,2020,5,TB,3,5,33.0,1,0.0,0.0,67.0,2.0,2.0,3.3396470594452694,0,12.3,9.3
00-0027696,J.Graham,2020,6,CAR,5,8,34.0,0,0.0,0.0,34.0,12.0,4.0,0.5063116581393909,0,8.4,3.4000000000000004
00-0027696,J.Graham,2020,7,LA,5,6,31.0,0,0.0,0.0,24.0,24.0,1.0,-3.4022019851836376,0,8.1,3.1
00-0027696,J.Graham,2020,8,NO,2,7,13.0,0,0.0,0.0,55.0,0.0,1.0,-5.884672319341917,0,3.3,1.3
00-0027696,J.Graham,2020,9,TEN,6,6,55.0,1,0.0,0.0,14.0,41.0,3.0,3.2160947066149674,0,17.5,11.5
00-0027696,J.Graham,2020,10,MIN,0,2,0.0,0,0.0,0.0,22.0,0.0,0.0,-1.2382353795692325,0,0.0,0.0
00-0027696,J.Graham,2020,12,GB,3,4,32.0,0,0.0,0.0,43.0,7.0,3.0,1.796046151604969,0,6.2,3.2
00-0027696,J.Graham,2020,13,DET,0,1,0.0,0,0.0,0.0,19.0,0.0,0.0,-0.400258825160563,0,0.0,0.0
00-0027696,J.Graham,2020,14,HOU,4,4,23.0,1,0.0,0.0,1.0,22.0,2.0,2.149268224835396,0,12.3,8.3
00-0027696,J.Graham,2020,15,MIN,2,3,25.0,0,0.0,0.0,26.0,13.0,1.0,0.9259632216999307,0,4.5,2.5
00-0027696,J.Graham,2020,16,JAX,4,5,69.0,2,0.0,0.0,72.0,20.0,4.0,6.968868302938063,0,22.9,18.9
00-0027696,J.Graham,2020,17,GB,2,2,5.0,0,0.0,0.0,1.0,4.0,0.0,-4.406485557497945,0,2.5,0.5
00-0027696,J.Graham,2020,18,NO,2,2,25.0,1,0.0,0.0,21.0,4.0,1.0,4.014749275345821,0,10.5,8.5
00-0027981,K.Rudolph,2020,1,GB,2,2,28.0,0,0.0,0.0,22.0,6.0,1.0,2.421017159247925,0,4.800000000000001,2.8000000000000003
00-0027981,K.Rudolph,2020,2,IND,0,1,0.0,0,0.0,0.0,25.0,0.0,0.0,-0.7559533300809562,0,0.0,0.0
00-0027981,K.Rudolph,2020,3,TEN,2,3,11.0,1,0.0,0.0,6.0,9.0,1.0,0.0015106966602616012,0,9.1,7.1
00-0027981,K.Rudolph,2020,4,HOU,2,2,27.0,0,0.0,0.0,18.0,9.0,1.0,1.7786827345844358,0,4.7,2.7
00-0027981,K.Rudolph,2020,5,SEA,1,2,10.0,0,0.0,0.0,16.0,5.0,1.0,-0.2599147651635576,0,2.0,1.0
00-0027981,K.Rudolph,2020,6,ATL,3,4,47.0,0,0.0,0.0,30.0,23.0,2.0,2.843606579990592,0,7.7,4.7
00-0027981,K.Rudolph,2020,8,GB,1,1,12.0,0,0.0,0.0,1.0,11.0,1.0,0.8459966577356681,0,2.2,1.2000000000000002
00-0027981,K.Rudolph,2020,9,DET,3,4,40.0,0,0.0,0.0,25.0,17.0,2.0,-0.9097084510140121,0,7.0,4.0
00-0027981,K.Rudolph,2020,10,CHI,4,5,63.0,0,1.0,1.0,30.0,44.0,2.0,-1.0990987656971902,0,8.3,4.300000000000001
00-0027981,K.Rudolph,2020,11,DAL,3,3,28.0,0,0.0,0.0,5.0,23.0,2.0,2.690576593973674,0,5.800000000000001,2.8000000000000003
00-0027981,K.Rudolph,2020,12,CAR,7,8,68.0,0,0.0,0.0,57.0,17.0,3.0,2.2678245395654812,0,13.8,6.800000000000001
00-0027981,K.Rudolph,2020,13,JAX,0,2,0.0,0,0.0,0.0,26.0,0.0,0.0,-1.1524981079855934,0,0.0,0.0
00-0028042,L.Stocker,2020,1,SEA,0,1,0.0,0,0.0,0.0,5.0,0.0,0.0,-0.2801667182939127,0,0.0,0.0
00-0028042,L.Stocker,2020,3,CHI,1,1,6.0,0,0.0,0.0,2.0,4.0,0.0,0.2255113825085573,0,1.6,0.6000000000000001
00-0028042,L.Stocker,2020,5,CAR,1,1,2.0,0,0.0,0.0,1.0,1.0,0.0,-0.5264024711214006,0,1.2,0.2
00-0028042,L.Stocker,2020,7,DET,0,1,0.0,0,0.0,0.0,1.0,0.0,0.0,-0.23671754245879129,0,0.0,0.0
00-0028042,L.Stocker,2020,9,DEN,1,1,12.0,0,0.0,0.0,2.0,10.0,1.0,0.820200314046815,0,2.2,1.2000000000000002
00-0028042,L.Stocker,2020,11,NO,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.7286249632015824,0,0.0,0.0
00-0028042,L.Stocker,2020,15,TB,2,3,21.0,0,0.0,0.0,5.0,20.0,1.0,-0.28921121498569846,0,4.1,2.1
00-0028042,L.Stocker,2020,16,KC,1,1,9.0,0,0.0,0.0,1.0,8.0,1.0,1.3600578531622887,0,1.9,0.9
00-0028042,L.Stocker,2020,17,TB,1,1,13.0,0,0.0,0.0,4.0,9.0,1.0,0.7095488186459988,0,2.3,1.3
00-0028097,L.Smith,2020,3,LA,1,1,1.0,1,0.0,0.0,1.0,0.0,1.0,2.1294011354912072,0,7.1,6.1
00-0028097,L.Smith,2020,12,LAC,1,1,3.0,0,0.0,0.0,1.0,2.0,0.0,-0.2741173563990742,0,1.3,0.30000000000000004
00-0028097,L.Smith,2020,13,SF,0,1,0.0,0,0.0,0.0,1.0,0.0,0.0,-4.225855346187018,0,0.0,0.0
00-0028097,L.Smith,2020,15,DEN,0,1,0.0,0,0.0,0.0,6.0,0.0,0.0,-0.754831594415009,0,0.0,0.0
00-0028097,L.Smith,2020,16,NE,2,2,31.0,1,0.0,0.0,13.0,18.0,2.0,2.9891297487774864,0,11.1,9.1
00-0028142,V.Green,2020,1,CIN,1,2,10.0,0,0.0,0.0,11.0,4.0,0.0,-0.15598774142563343,0,2.0,1.0
00-0028142,V.Green,2020,3,CAR,0,1,0.0,0,0.0,0.0,22.0,0.0,0.0,-0.8725632836576551,0,0.0,0.0
00-0028142,V.Green,2020,5,NO,1,1,14.0,0,0.0,0.0,-5.0,19.0,1.0,1.0814167021308094,0,2.4000000000000004,1.4000000000000001
00-0028142,V.Green,2020,7,JAX,1,2,26.0,1,0.0,0.0,43.0,0.0,1.0,1.8609798850957304,0,9.6,8.6
00-0029119,D.Carrier,2020,11,KC,1,1,14.0,0,0.0,0.0,-4.0,18.0,1.0,0.8328605507267639,0,2.4000000000000004,1.4000000000000001
00-0029738,D.Fells,2020,1,KC,2,2,19.0,0,0.0,0.0,6.0,13.0,1.0,0.9488177325110883,0,3.9000000000000004,1.9000000000000001
