player_id,player_name,season,week,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,fantasy_points_ppr,fantasy_points
00-0022942,P.Rivers,2020,11,GB,24,36,288.0,3,1.0,1.0,8.0,263.0,164.0,12.0,9.024966115749647,0,21.419999999999998,21.419999999999998
00-0022942,P.Rivers,2020,12,TEN,24,42,295.0,2,1.0,1.0,6.0,297.0,164.0,17.0,5.894668632885441,0,17.8,17.8
00-0022942,P.Rivers,2020,13,HOU,27,35,285.0,2,0.0,3.0,23.0,189.0,161.0,15.0,9.996901233736363,0,19.2,19.2
00-0022942,P.Rivers,2020,14,LV,19,28,244.0,2,0.0,0.0,-0.0,255.0,105.0,10.0,16.309603758704416,0,17.759999999999998,17.759999999999998
00-0022942,P.Rivers,2020,15,HOU,22,28,228.0,2,0.0,1.0,5.0,182.0,103.0,10.0,9.718859611960307,0,17.02,17.02
00-0022942,P.Rivers,2020,16,PIT,21,34,270.0,1,1.0,5.0,32.0,379.0,131.0,10.0,-6.40298673172947,0,10.8,10.8
00-0022942,P.Rivers,2020,17,JAX,17,27,164.0,1,1.0,0.0,-0.0,167.0,117.0,9.0,-0.07631031823411427,1,10.360000000000001,10.360000000000001
00-0022942,P.Rivers,2020,18,BUF,27,46,309.0,2,0.0,0.0,-0.0,352.0,115.0,17.0,13.753330281863466,1,22.259999999999998,22.259999999999998
00-0023436,A.Smith,2020,5,LA,9,17,37.0,0,0.0,6.0,31.0,97.0,39.0,2.0,-20.420169856102532,0,1.58,1.58
00-0023436,A.Smith,2020,9,NYG,24,32,325.0,1,3.0,2.0,22.0,107.0,235.0,12.0,2.1166402583500545,0,11.0,11.0
00-0023436,A.Smith,2020,10,DET,38,55,390.0,0,0.0,2.0,15.0,324.0,197.0,22.0,16.1341733001568,0,16.0,16.0
00-0023436,A.Smith,2020,11,CIN,17,25,166.0,1,1.0,2.0,5.0,143.0,97.0,9.0,-3.53453726314799,0,8.34,8.34
00-0023436,A.Smith,2020,12,DAL,19,26,149.0,1,1.0,3.0,21.0,92.0,82.0,5.0,-7.065424922241432,0,8.06,8.06
00-0023436,A.Smith,2020,13,PIT,31,46,296.0,1,0.0,3.0,23.0,265.0,168.0,12.0,0.34774186666879126,0,15.84,15.84
00-0023436,A.Smith,2020,14,SF,8,19,57.0,0,1.0,1.0,5.0,157.0,34.0,4.0,-12.018566482693076,0,0.28000000000000025,0.28000000000000025
00-0023436,A.Smith,2020,17,PHI,22,32,162.0,2,2.0,3.0,17.0,101.0,97.0,8.0,-8.247725903513764,0,10.48,10.48
00-0023459,A.Rodgers,2020,1,MIN,32,44,364.0,4,0.0,0.0,-0.0,391.0,155.0,17.0,17.96795294877168,0,30.76,30.76
00-0023459,A.Rodgers,2020,2,DET,18,30,240.0,2,0.0,1.0,11.0,277.0,100.0,13.0,14.773186685465681,0,19.200000000000003,18.200000000000003
00-0023459,A.Rodgers,2020,3,NO,21,32,283.0,3,0.0,1.0,12.0,288.0,151.0,14.0,10.888456186983571,0,24.52,24.52
00-0023459,A.Rodgers,2020,4,ATL,27,33,327.0,4,0.0,1.0,12.0,285.0,173.0,17.0,25.907597289926347,0,29.58,29.58
00-0023459,A.Rodgers,2020,6,TB,16,35,160.0,0,2.0,4.0,42.0,298.0,81.0,9.0,-15.289743789552803,0,3.8000000000000007,3.8000000000000007
00-0023459,A.Rodgers,2020,7,HOU,23,34,283.0,4,0.0,0.0,-0.0,233.0,167.0,15.0,17.992355442402186,0,27.32,27.32
00-0023459,A.Rodgers,2020,8,MIN,27,41,291.0,3,0.0,1.0,-0.0,334.0,125.0,17.0,10.24555457092356,0,22.54,22.54
00-0023459,A.Rodgers,2020,9,SF,25,31,305.0,4,0.0,1.0,11.0,229.0,131.0,13.0,19.749029543268747,0,28.900000000000002,28.900000000000002
00-0023459,A.Rodgers,2020,10,JAX,24,34,325.0,2,1.0,1.0,10.0,212.0,237.0,11.0,6.358336266749454,0,25.4,25.4
00-0023459,A.Rodgers,2020,11,IND,27,38,311.0,3,1.0,1.0,10.0,297.0,134.0,13.0,5.678473127704218,0,21.74,21.74
00-0023459,A.Rodgers,2020,12,CHI,21,29,211.0,4,0.0,0.0,-0.0,244.0,122.0,13.0,15.347127180022653,0,25.639999999999997,25.639999999999997
00-0023459,A.Rodgers,2020,13,PHI,25,34,295.0,3,0.0,2.0,7.0,364.0,133.0,14.0,15.443786659457556,0,23.5,23.5
00-0023459,A.Rodgers,2020,14,DET,26,33,290.0,3,0.0,0.0,-0.0,210.0,171.0,15.0,17.861166268994566,0,30.900000000000002,30.900000000000002
00-0023459,A.Rodgers,2020,15,CAR,20,29,143.0,1,0.0,5.0,47.0,123.0,106.0,8.0,-7.055640265029602,0,18.32,18.32
00-0023459,A.Rodgers,2020,16,TEN,21,25,231.0,4,1.0,1.0,17.0,178.0,108.0,14.0,9.611669356789207,0,25.14,25.14
00-0023459,A.Rodgers,2020,17,CHI,19,24,240.0,4,0.0,1.0,3.0,172.0,154.0,13.0,20.772540580306668,0,26.0,26.0
00-0023459,A.Rodgers,2020,19,LA,23,36,296.0,2,0.0,0.0,-0.0,330.0,149.0,15.0,17.425008627152437,0,25.54,25.54
00-0023459,A.Rodgers,2020,20,TB,33,48,346.0,3,1.0,5.0,32.0,335.0,178.0,19.0,7.767213434246179,0,23.84,23.84
00-0023682,R.Fitzpatrick,2020,1,NE,20,30,191.0,0,3.0,1.0,9.0,251.0,59.0,11.0,-8.427611074317511,0,5.44,5.44
