player_id,player_name,season,week,opponent_team,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,fantasy_points_ppr,fantasy_points
00-0029141,A.Morris,2020,12,CIN,4,8.0,0,0.0,0.0,0.0,-1.6714692709501833,0,0,0,0.0,0,0.8,0.8
00-0029141,A.Morris,2020,13,SEA,8,39.0,1,0.0,0.0,2.0,1.0993395168334246,0,1,1,6.0,1,17.5,16.5
00-0029141,A.Morris,2020,14,ARI,3,7.0,0,0.0,0.0,0.0,-1.0030770162120461,0,0,0,0.0,0,0.7000000000000001,0.7000000000000001
00-0029141,A.Morris,2020,15,CLE,7,39.0,0,0.0,0.0,3.0,1.953817700734362,0,0,0,0.0,0,3.9000000000000004,3.9000000000000004
00-0029141,A.Morris,2020,16,BAL,3,4.0,0,0.0,0.0,1.0,0.9352934766211547,0,1,1,9.0,0,2.3,1.3
00-0029141,A.Morris,2020,17,DAL,5,12.0,0,0.0,0.0,0.0,-0.9008457721793093,0,0,1,0.0,0,1.2000000000000002,1.2000000000000002
00-0029615,L.Miller,2020,10,MIN,0,0.0,0,0.0,0.0,0.0,,0,2,2,6.0,0,2.6,0.6000000000000001
00-0030107,T.Riddick,2020,4,BUF,2,13.0,0,0.0,0.0,1.0,0.9309529749443755,0,0,0,0.0,0,1.3,1.3
00-0030107,T.Riddick,2020,13,NYJ,3,6.0,0,0.0,0.0,0.0,-0.8342578590963967,0,1,1,3.0,0,1.9,0.9
00-0030107,T.Riddick,2020,15,LAC,1,-5.0,0,0.0,0.0,0.0,-0.6171189327724278,0,0,0,0.0,0,-0.5,-0.5
00-0030107,T.Riddick,2020,17,DEN,0,0.0,0,0.0,0.0,0.0,,0,4,5,40.0,0,8.0,4.0
00-0030288,R.Burkhead,2020,1,MIA,7,32.0,0,0.0,0.0,2.0,1.3960336755926899,0,0,0,0.0,0,3.2,3.2
00-0030288,R.Burkhead,2020,2,SEA,6,2.0,0,0.0,0.0,0.0,-5.282667485589627,0,4,6,47.0,0,8.9,4.9
00-0030288,R.Burkhead,2020,3,LV,6,49.0,2,0.0,0.0,6.0,6.7646345417015254,0,7,10,49.0,1,34.8,27.8
00-0030288,R.Burkhead,2020,4,KC,11,45.0,0,0.0,0.0,1.0,-1.2735919254482724,0,1,1,5.0,0,6.0,5.0
00-0030288,R.Burkhead,2020,6,DEN,5,14.0,0,0.0,0.0,0.0,-1.4833389245904982,0,0,0,0.0,0,1.4000000000000001,1.4000000000000001
00-0030288,R.Burkhead,2020,7,SF,4,12.0,0,0.0,0.0,0.0,-1.1488849606830627,0,3,4,35.0,0,7.7,4.7
00-0030288,R.Burkhead,2020,8,BUF,6,26.0,0,0.0,0.0,3.0,2.0066918858210556,0,1,1,5.0,0,4.1,3.1
00-0030288,R.Burkhead,2020,9,NYJ,12,56.0,1,0.0,0.0,4.0,3.9437307608895935,0,3,3,11.0,0,15.7,12.7
00-0030288,R.Burkhead,2020,10,BAL,6,31.0,0,0.0,0.0,1.0,1.5134051454951987,0,4,5,35.0,2,22.6,18.6
00-0030288,R.Burkhead,2020,11,HOU,4,7.0,0,0.0,0.0,1.0,-2.3235783794661984,0,2,3,5.0,0,3.2,1.2000000000000002
00-0030404,C.Thompson,2020,1,IND,0,0.0,0,0.0,0.0,0.0,,0,2,2,6.0,0,2.6,0.6000000000000001
00-0030404,C.Thompson,2020,2,TEN,2,7.0,0,0.0,0.0,1.0,0.28589762980118394,0,3,4,20.0,1,11.7,8.7
00-0030404,C.Thompson,2020,3,MIA,2,3.0,0,0.0,0.0,0.0,-1.6961712822667323,0,5,6,35.0,0,8.8,3.8000000000000003
00-0030404,C.Thompson,2020,5,HOU,2,7.0,0,0.0,0.0,0.0,0.0006923904875293374,0,3,3,35.0,0,7.2,4.2
00-0030404,C.Thompson,2020,6,DET,0,0.0,0,0.0,0.0,0.0,,0,3,4,15.0,0,4.5,1.5
00-0030404,C.Thompson,2020,9,HOU,1,3.0,0,0.0,0.0,0.0,-0.282473208848387,0,4,4,35.0,0,7.800000000000001,3.8000000000000003
00-0030456,G.Bernard,2020,1,LAC,1,7.0,0,0.0,0.0,0.0,-0.01759718859102577,0,4,5,21.0,0,6.800000000000001,2.8000000000000003
