Rk,Player,Age,Team,Pos,G,GS,FGA_0_19,FGM_0_19,FGA_20_29,FGM_20_29,FGA_30_39,FGM_30_39,FGA_40_49,FGM_40_49,FGA_50_plus,FGM_50_plus,FGA_Total,FGM_Total,Lng,FG_Pct,XPA,XPM,XP_Pct,KO,KO_Yds,TB,TB_Pct,KO_Avg,Awards,Player_ID
40,Cairo Santos,26,KAN,K,3,0,0.0,0,0,0,3,3,0,0,0,0,3,3,39,100.0,12,12,100.0,18,1178,10,55.6,65,,SantCa01
40,Cairo Santos,26,CHI,K,2,0,0.0,0,0,0,1,1,0,0,1,0,2,1,38,50.0,2,2,100.0,2,130,2,100.0,65,,SantCa01
41,Caleb Sturgis,28,PHI,K,1,0,0.0,0,0,0,1,1,1,1,1,1,3,3,50,100.0,2,1,50.0,6,374,2,33.3,62,,SturCa00
42,Matthew Bosher,30,ATL,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,84,5332,49,58.3,64,,BoshMa00
43,Britton Colquitt,32,CLE,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,64,0,0.0,64,,ColqBr00
44,Dustin Colquitt,35,KAN,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,48,0,0.0,48,,ColqDu20
45,Riley Dixon,24,DEN,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,2,118,0,0.0,59,,DixoRi00
46,Lac Edwards,25,NYJ,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,55,0,0.0,55,,EdwaLa01
47,Kamu Grugier-Hill,23,PHI,LB,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4,248,1,25.0,62,,GrugKa00
48,Jeff Heath,26,DAL,SS,15,15,0.0,0,0,0,0,0,0,0,0,0,0,0,,,3,2,66.7,5,308,2,40.0,62,,HeatJe00
49,Drew Kaser,24,LAC,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,3,1,33.3,0,0,0,,,,KaseDr00
50,Marshall Koehn,25,CIN,K,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,100.0,2,139,1,50.0,70,,KoehMa00
51,Shane Lechler,41,HOU,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,46,0,0.0,46,,LechSh20
52,Andy Lee,35,ARI,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,68,0,0.0,68,,LeexAn20
53,Jeff Locke,28,DET,P,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,23,1485,16,69.6,65,,LockJe00
54,Sam Martin,27,DET,P,10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,50,3242,25,50.0,65,,MartSa01
55,Thomas Morstead,31,NOR,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,65,1,100.0,65,,MorsTh00
56,Pat O'Donnell,26,CHI,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4,260,2,50.0,65,,ODonPa00
57,Bradley Pinion,23,SFO,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,79,5065,64,81.0,64,,PiniBr00
58,Ryan Quigley,27,MIN,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,51,0,0.0,51,,QuigRy00
59,Kasey Redfern,26,DET,P,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,65,0,0.0,65,,RedfKa00
60,Jon Ryan,36,SEA,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,2,125,0,0.0,63,,RyanJo21
61,Rigoberto Sanchez,23,IND,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,70,4385,46,65.7,63,,SancRi00
62,Tress Way,27,WAS,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,61,0,0.0,61,,WayxTr00
1,Dustin Hopkins,26,WAS,K,16,0,0.0,0,12,12,14,12,9,7,7,3,42,34,53,81.0,39,36,92.3,92,5788,65,70.7,63,,HopkDu00
2,Nick Novak,35,HOU,K,16,0,1.0,1,12,12,11,11,11,8,6,3,41,35,53,85.4,25,22,88.0,74,4444,23,31.1,60,,novaknic01
3,Caleb Sturgis,27,PHI,K,16,0,0.0,0,12,12,12,12,11,7,6,4,41,35,55,85.4,31,30,96.8,87,5439,46,52.9,63,,SturCa00
4,Justin Tucker,27,BAL,K,16,0,0.0,0,4,4,11,10,14,14,10,10,39,38,57,97.4,27,27,100.0,80,5039,52,65.0,63,PBAP-1,TuckJu00
