Rk,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards,Year
21,Logan Cooke,28,JAX,P,17,0,61,2893,47.4,145,2668,43.7,65,4,6.6,29,47.5,0,2025
22,Tommy Townsend,27,KAN,P,17,0,59,2776,47.1,207,2473,41.9,68,5,8.5,20,33.9,0,2025
23,Ryan Wright,23,MIN,P,17,0,59,2873,48.7,260,2486,42.1,68,7,11.9,17,28.8,0,2025
24,Jack Fox,27,DET,P,17,0,57,2646,46.4,164,2382,41.8,70,5,8.8,26,45.6,0,2025
25,Daniel Whelan,24,GNB,P,17,0,57,2634,46.2,270,2264,39.7,68,5,8.8,18,31.6,0,2025
26,Jake Bailey,26,MIA,P,17,0,53,2424,45.7,207,2157,40.7,66,3,5.7,20,37.7,0,2025
27,Ryan Stonehouse,24,TEN,P,12,0,53,2812,53.1,243,2369,44.7,74,10,18.9,28,52.8,0,2025
28,Mitch Wishnowsky,31,SFO,P,17,0,52,2480,47.7,220,2220,42.7,67,2,3.8,26,50.0,0,2025
29,Blake Gillikin,25,ARI,P,13,0,51,2580,50.6,318,2222,43.6,77,2,3.9,11,21.6,0,2025
30,Sam Martin,33,BUF,P,17,0,51,2334,45.8,240,2034,39.9,70,3,5.9,24,47.1,0,2025
31,Bryan Anger,35,DAL,P,17,0,44,2262,51.4,247,1995,45.3,63,2,4.5,17,38.6,0,2025
32,Braden Mann,26,PHI,P,15,0,44,2190,49.8,244,1926,43.8,63,1,2.3,15,34.1,0,2025
33,Ty Zentner,25,2TM,P,9,0,38,1705,44.9,91,1534,40.4,64,4,10.5,10,26.3,0,2025
33,Ty Zentner,25,HOU,K,4,0,14,590,42.1,9,541,38.6,54,2,14.3,2,14.3,0,2025
33,Ty Zentner,25,TEN,P,5,0,24,1115,46.5,82,993,41.4,64,2,8.3,8,33.3,0,2025
34,Nolan Cooney,27,ARI,P,4,0,13,592,45.5,48,524,40.3,56,1,7.7,2,15.4,0,2025
35,Brad Wing,32,PIT,P,2,0,11,495,45.0,27,428,38.9,52,2,18.2,3,27.3,0,2025
36,Arryn Siposs,31,PHI,P,2,0,8,347,43.4,40,307,38.4,54,0,0.0,2,25.0,0,2025
37,Matt Haack,29,CLE,P,1,0,3,155,51.7,30,125,41.7,56,0,0.0,0,0.0,0,2025
38,Nick Folk,39,TEN,K,17,0,2,81,40.5,3,78,39.0,41,0,0.0,0,0.0,0,2025
39,Greg Joseph,29,MIN,K,17,0,1,14,14.0,17,-3,-3.0,14,0,0.0,0,0.0,0,2025
1,Corliss Waitman,27,DEN,P,17,0,96,4470,46.6,369,3981,41.5,59,6,6.3,30,31.3,0,2025
2,Ryan Stonehouse,23,TEN,P,17,0,90,4779,53.1,636,3963,44.0,74,9,10.0,30,33.3,0,2025
3,Cameron Johnston,30,HOU,P,17,0,88,4229,48.1,405,3744,42.5,67,4,4.5,37,42.0,0,2025
4,Braden Mann,25,NYJ,P,17,0,83,3889,46.9,363,3386,40.8,72,8,9.6,27,32.5,0,2025
5,Tress Way,32,WAS,P,17,0,83,3885,46.8,212,3567,43.0,68,5,6.0,37,44.6,0,2025
6,Johnny Hekker,32,CAR,P,17,0,81,3925,48.5,231,3594,44.4,68,6,7.4,39,48.1,0,2025
7,Jake Camarda,23,TAM,P,17,0,79,3859,48.8,374,3285,41.6,74,10,12.7,22,27.8,0,2025
8,Blake Gillikin,24,NOR,P,17,0,77,3571,46.4,232,3199,41.5,68,7,9.1,32,41.6,0,2025
9,Jamie Gillan,25,NYG,P,17,0,74,3463,46.8,321,3001,40.0,69,9,12.2,26,35.1,1,2025
10,JK Scott,27,LAC,P,17,0,73,3186,43.6,66,3020,41.4,60,5,6.8,28,38.4,0,2025
11,Ryan Wright,22,MIN,P,17,0,73,3457,47.4,294,3143,42.5,73,1,1.4,32,43.8,1,2025
12,Riley Dixon,29,LAR,P,17,0,71,3434,48.4,372,2982,40.8,67,4,5.6,19,26.8,2,2025
13,Matt Haack,28,IND,P,17,0,70,3133,44.8,196,2877,40.5,70,3,4.3,28,40.0,1,2025
14,Pressley Harvin III,24,PIT,P,17,0,69,3072,44.5,137,2835,41.1,69,5,7.2,20,29.0,0,2025
15,Bryan Anger,34,DAL,P,17,0,68,3291,48.4,259,2912,42.8,83,6,8.8,27,39.7,0,2025
16,Andy Lee,40,ARI,P,17,0,67,3157,47.1,340,2737,40.3,65,4,6.0,18,26.9,1,2025
17,Michael Dickson,26,SEA,P,17,0,66,3199,48.5,207,2932,44.4,68,3,4.5,22,33.3,0,2025
18,Trenton Gill,23,CHI,P,17,0,66,3038,46.0,323,2655,39.6,63,3,4.5,20,30.3,1,2025
19,Bradley Pinion,28,ATL,P,17,0,62,2845,45.9,250,2555,41.2,73,2,3.2,23,37.1,0,2025
20,Corey Bojorquez,26,CLE,P,17,0,61,2959,48.5,319,2500,41.0,76,7,11.5,23,37.7,0,2025
21,Thomas Morstead,36,MIA,P,17,0,61,2828,46.4,312,2476,40.6,66,2,3.3,28,45.9,0,2025
22,Mitch Wishnowsky,30,SFO,P,17,0,61,2631,43.1,154,2422,39.7,74,5,8.2,32,52.5,0,2025
23,AJ Cole III,27,LVR,P,17,0,59,2884,48.9,274,2590,43.9,67,1,1.7,26,44.1,0,2025
24,Logan Cooke,27,JAX,P,17,0,58,2862,49.3,203,2539,43.8,70,6,10.3,24,41.4,0,2025
25,Jordan Stout,24,BAL,P,17,0,57,2618,45.9,155,2288,40.1,69,7,12.3,26,45.6,0,2025
26,Tommy Townsend,26,KAN,P,17,0,53,2672,50.4,176,2416,45.6,76,4,7.5,22,41.5,0,2025
27,Jack Fox,26,DET,P,17,0,52,2525,48.6,313,2152,41.4,66,3,5.8,14,26.9,0,2025
28,Pat O'Donnell,31,GNB,P,17,0,52,2313,44.5,196,2097,38.8,72,1,1.9,24,46.2,2,2025
29,Sam Martin,32,BUF,P,16,0,45,2146,47.7,151,1895,41.2,67,5,11.1,16,35.6,1,2025
30,Arryn Siposs,30,PHI,P,13,0,44,2005,45.6,163,1782,39.6,59,3,6.8,16,36.4,1,2025
