Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
8,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,20,0.0,0.0,,GodcDa00
2,0.0,16.0,13.0,81.3,101.0,7.8,6.3,2,132.6,6.5,46.0,55.0,3.0,0.0,0.0,0.0,0.0,0,20,4.0,16.7,,HickJa01
4,0.0,9.0,7.0,77.8,117.0,16.7,13.0,2,158.3,13.4,83.0,34.0,1.0,0.0,0.0,0.0,0.0,0,20,0.0,0.0,,HookMa00
8,0.0,1.0,0.0,0.0,0.0,,0.0,0,39.6,-6.0,0.0,0.0,4.0,2.0,2.0,1.0,2.5,7,20,1.0,4.8,,JordCa00
8,1.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,2.0,3.0,3.0,0.5,6,20,2.0,9.1,,LawrDe03
6,0.0,3.0,2.0,66.7,19.0,9.5,6.3,0,84.0,3.7,14.0,5.0,6.0,2.0,4.0,0.0,3.5,11,20,1.0,4.8,,MartJa02
1,0.0,10.0,7.0,70.0,164.0,23.4,16.4,1,145.8,15.5,105.0,59.0,2.0,0.0,0.0,0.0,0.0,0,20,2.0,9.1,,MustMa00
7,0.0,2.0,2.0,100.0,2.0,1.0,1.0,1,118.7,-2.5,-5.0,7.0,0.0,2.0,2.0,1.0,1.0,5,20,1.0,4.8,,OdeyDa00
4,0.0,1.0,0.0,0.0,0.0,,0.0,0,39.6,0.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,9,20,1.0,4.8,,OjomMo00
5,0.0,13.0,11.0,84.6,99.0,9.0,7.6,3,138.0,5.8,58.0,41.0,6.0,0.0,0.0,0.0,0.0,0,20,1.0,4.8,,PinnJa01
6,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5,20,1.0,4.8,,RedmJa01
8,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,3.0,12.0,3.0,4.0,21,19,4.0,17.4,,AlleZa01
1,0.0,3.0,2.0,66.7,27.0,13.5,9.0,0,95.1,8.0,24.0,3.0,1.0,0.0,1.0,0.0,0.0,1,19,1.0,5.0,,AndrJo02
6,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4,19,4.0,17.4,,ButlAd00
7,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,2.0,5.0,1.0,3.0,10,19,2.0,9.5,,CampCa99
7,0.0,1.0,1.0,100.0,8.0,8.0,8.0,0,100.0,-1.0,-1.0,9.0,0.0,3.0,2.0,0.0,3.5,9,19,3.0,13.6,,DextGe00
2,1.0,25.0,17.0,68.0,140.0,8.2,5.6,0,65.4,7.6,102.0,38.0,2.0,0.0,0.0,0.0,0.0,0,19,2.0,9.5,,EchoBr00
5,0.0,5.0,3.0,60.0,36.0,12.0,7.2,0,82.1,11.4,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0,19,1.0,5.0,,GiffLu00
5,0.0,22.0,15.0,68.2,170.0,11.3,7.7,2,121.4,13.2,140.0,30.0,0.0,0.0,0.0,0.0,0.0,0,19,2.0,9.5,,HobbNa00
0,0.0,3.0,3.0,100.0,16.0,5.3,5.3,1,128.5,-5.0,-15.0,31.0,4.0,1.0,2.0,1.0,4.0,7,19,3.0,13.6,,HuffBr00
8,1.0,6.0,2.0,33.3,5.0,2.5,0.8,0,2.8,-1.3,-8.0,13.0,8.0,3.0,7.0,0.0,1.0,11,19,2.0,9.5,,HuntJa02
5,0.0,1.0,1.0,100.0,13.0,13.0,13.0,0,118.7,-1.0,-1.0,14.0,0.0,2.0,1.0,0.0,1.0,4,19,1.0,5.0,,JohnJe07
5,0.0,3.0,2.0,66.7,9.0,4.5,3.0,0,70.1,0.3,0.0,9.0,0.0,0.0,4.0,2.0,4.0,8,19,5.0,20.8,,LaulJo00
6,0.0,2.0,1.0,50.0,4.0,4.0,2.0,0,56.2,1.5,-2.0,6.0,6.0,9.0,3.0,0.0,3.0,16,19,1.0,5.0,,LawrDe00
4,0.0,4.0,4.0,100.0,25.0,6.3,6.3,1,132.3,-0.5,-2.0,27.0,3.0,7.0,2.0,0.0,2.0,11,19,4.0,17.4,,OssaJo00
2,1.0,23.0,18.0,78.3,167.0,9.3,7.3,1,93.3,6.2,108.0,59.0,1.0,0.0,0.0,0.0,0.0,0,19,3.0,13.6,,SmitCh05
7,2.0,39.0,21.0,53.8,304.0,14.5,7.8,2,75.2,10.8,212.0,92.0,1.0,0.0,0.0,0.0,0.0,0,19,3.0,13.6,,TurnDJ01
8,0.0,2.0,2.0,100.0,12.0,6.0,6.0,0,91.7,-4.0,-8.0,20.0,0.0,1.0,1.0,0.0,1.0,3,19,0.0,0.0,,WillMy00
6,0.0,28.0,16.0,57.1,203.0,12.7,7.3,1,91.8,12.4,151.0,52.0,1.0,0.0,0.0,0.0,0.0,0,19,4.0,17.4,,WoolTa00
1,0.0,13.0,10.0,76.9,134.0,13.4,10.3,1,134.8,10.5,87.0,47.0,0.0,0.0,0.0,0.0,0.0,0,18,3.0,14.3,,BakeDa02
7,1.0,23.0,12.0,52.2,181.0,15.1,7.9,2,89.2,17.1,154.0,27.0,0.0,0.0,0.0,0.0,0.0,0,18,3.0,14.3,,BullCa00
3,0.0,4.0,4.0,100.0,72.0,18.0,18.0,0,118.7,10.3,41.0,31.0,12.0,2.0,1.0,0.0,0.0,3,18,1.0,5.3,,CashBl00
4,0.0,16.0,11.0,68.8,191.0,17.4,11.9,3,148.7,13.6,152.0,39.0,2.0,0.0,0.0,0.0,0.0,0,18,2.0,10.0,,DiggTr00
1,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,1.0,2.0,0.0,4.0,7,18,3.0,14.3,,EboiJu00
2,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,18,1.0,5.3,,FordPo00
1,0.0,4.0,3.0,75.0,32.0,10.7,8.0,0,97.9,0.0,8.0,24.0,7.0,1.0,2.0,0.0,1.0,4,18,1.0,5.3,,GreeMi02
5,0.0,2.0,1.0,50.0,20.0,20.0,10.0,0,85.4,15.0,18.0,2.0,9.0,0.0,4.0,0.0,1.5,6,18,1.0,5.3,,HighAl02
0,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,4.0,1.0,0.0,3.5,9,18,1.0,5.3,,HousJa01
6,3.0,15.0,10.0,66.7,127.0,12.7,8.5,2,92.9,12.6,77.0,50.0,1.0,0.0,0.0,0.0,0.0,0,18,4.0,18.2,,JoseKe03
3,0.0,10.0,6.0,60.0,82.0,13.7,8.2,0,86.2,12.3,69.0,13.0,5.0,0.0,0.0,0.0,1.0,1,18,1.0,5.3,,LoveJu00
0,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,1.0,2.0,1.0,2.0,5,18,1.0,5.3,,NewtJe00
3,1.0,35.0,22.0,62.9,274.0,12.5,7.8,3,103.7,9.7,168.0,106.0,1.0,0.0,0.0,0.0,0.0,0,18,4.0,18.2,,RobeAm00
7,0.0,2.0,1.0,50.0,2.0,2.0,1.0,0,56.2,1.5,2.0,0.0,3.0,4.0,2.0,2.0,2.5,9,18,1.0,5.3,,RousGr00
5,0.0,17.0,9.0,52.9,76.0,8.4,4.5,0,64.8,9.6,66.0,10.0,1.0,0.0,0.0,0.0,0.0,0,18,0.0,0.0,,TerrAJ00
0,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,5.0,1.0,1.0,0.0,6,18,1.0,5.3,,ThomSo00
8,0.0,1.0,0.0,0.0,0.0,,0.0,0,39.6,2.0,0.0,0.0,0.0,1.0,3.0,1.0,2.5,7,18,2.0,10.0,,VeaxVi00
3,0.0,1.0,1.0,100.0,5.0,5.0,5.0,0,87.5,-5.0,-5.0,10.0,13.0,0.0,6.0,0.0,2.0,8,18,1.0,5.3,,OwehJa00
2,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,13.0,0.0,5.0,0.0,0.0,5,10,1.0,9.1,,OwehJa00
1,0.0,1.0,1.0,100.0,5.0,5.0,5.0,0,87.5,-5.0,-5.0,10.0,0.0,0.0,1.0,0.0,2.0,3,8,0.0,0.0,,OwehJa00
4,0.0,2.0,2.0,100.0,16.0,8.0,8.0,0,100.0,0.5,1.0,15.0,3.0,0.0,0.0,0.0,1.0,1,17,3.0,15.0,,BakeJe00
1,0.0,15.0,10.0,66.7,129.0,12.9,8.6,2,133.1,9.3,107.0,22.0,0.0,0.0,0.0,0.0,0.0,0,17,2.0,10.5,,BankDe00
3,0.0,1.0,1.0,100.0,-8.0,-8.0,-8.0,0,79.2,-8.0,-8.0,0.0,0.0,0.0,2.0,0.0,2.0,4,17,0.0,0.0,,BosaNi00
1,1.0,17.0,11.0,64.7,103.0,9.4,6.1,0,56.7,7.9,59.0,44.0,4.0,0.0,0.0,0.0,0.5,1,17,3.0,15.0,,BowmBi01
1,0.0,15.0,10.0,66.7,131.0,13.1,8.7,1,116.2,11.1,98.0,33.0,0.0,0.0,0.0,0.0,0.0,0,17,1.0,5.6,,ClarKe02
0,0.0,2.0,2.0,100.0,13.0,6.5,6.5,0,93.7,2.5,5.0,8.0,10.0,1.0,6.0,0.0,1.0,8,17,1.0,5.6,,CollZa00
0,0.0,2.0,2.0,100.0,17.0,8.5,8.5,0,102.1,6.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0,17,0.0,0.0,,DolaSh00
4,0.0,6.0,5.0,83.3,74.0,14.8,12.3,0,118.1,10.5,61.0,13.0,1.0,0.0,0.0,0.0,0.0,0,17,0.0,0.0,,DuggKy00
5,1.0,33.0,18.0,54.5,280.0,15.6,8.5,0,70.3,12.2,195.0,85.0,1.0,0.0,0.0,0.0,0.0,0,17,2.0,10.5,,DuraDe01
2,0.0,17.0,13.0,76.5,67.0,5.2,3.9,1,101.8,3.9,-7.0,74.0,6.0,2.0,0.0,0.0,0.0,2,17,1.0,5.6,,EmmaNi00
0,0.0,1.0,1.0,100.0,-7.0,-7.0,-7.0,0,79.2,-3.0,-3.0,-4.0,3.0,6.0,8.0,0.0,1.0,15,17,2.0,10.5,,EzeiDo00
4,0.0,19.0,15.0,78.9,208.0,13.9,10.9,3,151.9,10.7,124.0,84.0,1.0,0.0,0.0,0.0,0.0,0,17,2.0,10.5,,ForbEm00
8,0.0,2.0,0.0,0.0,0.0,,0.0,0,39.6,-1.5,0.0,0.0,0.0,1.0,1.0,2.0,0.5,3,17,1.0,5.6,,GrahMa00
3,0.0,1.0,1.0,100.0,6.0,6.0,6.0,0,91.7,5.0,5.0,1.0,0.0,0.0,1.0,1.0,1.5,3,17,1.0,5.6,,GranKe01
7,0.0,1.0,1.0,100.0,8.0,8.0,8.0,1,139.6,-2.0,-2.0,10.0,0.0,0.0,2.0,0.0,0.0,2,17,1.0,5.6,,HamiDa02
